BusinessName,DBAName,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Location
Mirabella Pool Concession,,Active,FT,Eating & Drinking w/ Take Out,06/26/2013 08:49:33 AM,+16174384449,"(42.368749, -71.055051)"
MISONO GRILL,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:37 PM,+16177839188,"(42.352411, -71.125329)"
MISONO RESTAURANT,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:45 PM,+16173259919,"(42.296579, -71.155008)"
MISONO WOK,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:17 PM,+16177839888,"(42.352411, -71.125329)"
MISSION BAR & GRILL,,Active,FS,Eating & Drinking,12/07/2006 01:36:24 PM,+16175661244,"(42.333847, -71.105038)"
Mission Sushi & Wok,,Active,FS,Eating & Drinking,08/16/2012 09:17:31 AM,+10000000000,"(42.33392, -71.10354)"
Mixx Frozen Yogurt,,Active,FT,Eating & Drinking w/ Take Out,02/25/2010 10:17:42 AM,+10000000000,"(42.3524, -71.12881)"
MOBIDICK,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:34 PM,+16172325152,"(42.342178, -71.08624)"
Modern Pastry Shop I I,,Active,FT,Eating & Drinking w/ Take Out,11/01/2013 10:52:33 AM,+16175233783,"(42.36329, -71.0547)"
Moko,,Active,FS,Eating & Drinking,03/11/2011 12:43:25 PM,+10000000000,"(42.33579, -71.03757)"
Molina Restaurant,,Active,FT,Eating & Drinking w/ Take Out,04/01/2009 01:57:45 PM,+16178210790,"(42.330416, -71.066709)"
MONICA'S RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:35:05 PM,+16177200217,"(42.363408, -71.054261)"
Montecristo Mexican Grill,,Active,FT,Eating & Drinking w/ Take Out,04/29/2008 08:23:48 AM,+16172322228,"(42.33363, -71.10549)"
MONTIEN RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:35:00 PM,+16173385600,"(42.351263, -71.064339)"
Monumental Cupcakes @ JP Art Market,,Active,FT,Eating & Drinking w/ Take Out,01/26/2009 10:04:04 AM,+16178036247,"(42.3084, -71.11536)"
